loss,precision,recall,val_loss,val_precision,val_recall,lr
0.03920048475265503,0.6830341815948486,0.6830341815948486,0.03846148028969765,0.6994923949241638,0.6994923949241638,0.001
0.0382145531475544,0.6992888450622559,0.6992888450622559,0.03740670531988144,0.6994923949241638,0.6994923949241638,0.001
0.03555722162127495,0.6992888450622559,0.6992888450622559,0.03232972323894501,0.6994923949241638,0.6994923949241638,0.001
0.02672300674021244,0.7189298868179321,0.7189298868179321,0.02148931659758091,0.8873096704483032,0.8873096704483032,0.001
0.01737162284553051,0.9021334052085876,0.9021334052085876,0.014441571198403835,0.9908629655838013,0.9908629655838013,0.001
0.012783204205334187,0.98306804895401,0.98306804895401,0.011581331491470337,0.992893397808075,0.992893397808075,0.001
0.011054117232561111,0.9911953806877136,0.9911953806877136,0.01109692919999361,0.9888324737548828,0.9888324737548828,0.001
0.010069446638226509,0.9949204325675964,0.9949204325675964,0.009573477320373058,0.9959390759468079,0.9959390759468079,0.001
0.008944977074861526,0.9976295232772827,0.9976295232772827,0.008874800987541676,0.9949238300323486,0.9949238300323486,0.001
0.008237113244831562,0.9979681968688965,0.9979681968688965,0.007975024171173573,0.9969543218612671,0.9969543218612671,0.001
0.0074341488070786,0.999661386013031,0.999661386013031,0.007385358680039644,0.9959390759468079,0.9959390759468079,0.001
0.006836486980319023,0.999661386013031,0.999661386013031,0.006834630388766527,0.9959390759468079,0.9959390759468079,0.001
0.006310730241239071,0.999661386013031,0.999661386013031,0.006290385965257883,0.9969543218612671,0.9969543218612671,0.001
0.005798249505460262,1.0,1.0,0.005886566359549761,0.9959390759468079,0.9959390759468079,0.001
0.00539809837937355,1.0,1.0,0.005507446825504303,0.9959390759468079,0.9959390759468079,0.001
0.005007346160709858,1.0,1.0,0.00517253577709198,0.9959390759468079,0.9959390759468079,0.001
0.004668472800403833,1.0,1.0,0.004860903136432171,0.9959390759468079,0.9959390759468079,0.001
0.004356774967163801,1.0,1.0,0.004563959781080484,0.9969543218612671,0.9969543218612671,0.001
